04|02|36|13|CMP|Good morning, Houston. 14 here.
04|02|36|17|cc|Apollo 14, Apollo 14; this is Houston. Roger. Good evening, Stu.
04|02|36|26|CMP|Good evening? It's good morning, Bruce baby.
04|02|36|30|CC|Roger. How'd you all sleep?
04|02|36|47|CMP|And Bruce, I've got a crew status report for you.
04|02|36|50|CC|Okay. Go ahead with your crew status report.
04|02|36|56|CMP|Okay. Al: 6 hours of sleep, dosimeter, 16048; Ed: 6 hours, 01046; and 6 hours, 05038.
04|02|37|12|CC|Okay. Understand 6 hours of sleep each, 16o48, 01046, and 05038. Over.
04|02|37|27|CMP|That's affirmative.
04|02|37|30|CC|14, this is Houston. At this time, we would like the CMP and the LMP to swap dosimeters. The LMP dosimeter is inoperative, and we would like to have two active dosimeters on the lunar surface. Over.
04|02|37|47|CMP|Okay. We'll do that.
04|02|38|16|CC|And, 14; this is Houston. Would you confirm a negative presleep status report. Over.
04|02|38|28|CMP|That's affirmative. We went to bed all healthy, no medication, and we're getting up the same way.
o4|02|38|35|CC|Roger. Out.
o4|02|38|54|cc|Okay. When you're interested, I have about four or five general information-type items to pass up to you all.
04|02|39|06|CMP|Okay, Bruce. This is something - we should all be on the headset for? If it is, we should Just wait a few minutes.
04|02|39|14|CC|Yes. Why don't we do that? There's no great rush in any of them, but we've got 24 minutes to LOS. And just let me know when you're ready.
04|02|39|26|CMP|Okay. I’ll take a consumables update, anytime you've got it. We'll get that out of the way, if you want to give it to me now.
04|02|39|33|CC|Okay, I'll have the consumables update for you momentarily. In the meantime, we'd like you to read out the HIGH GAIN ANTENNA meters and the HIGH GAIN ANTENNA knobs. It has not been switching to NARROW BEAM at AOS. We're not sure why, right now. We's like to leave the configuration as is and get those read-outs. Over.
04|02|4o|10|CMP|Okay, Bruce, the -
o4|02|4o|15|IMP|Bruce, this is Ed. I got my biomed on, and I got the sensor corrected. Have the medics take a look at it while you're talking to Stu, please.
o4|02|4o|23|CC|I understand you have your biomed hooked up, and the sensor is connected, and you'd like the medics to look at it.
04|02|4o|30|IMP|That's affirm.
04|02|4o|32|CC|We're in LOW BIT RATE right now, Ed. You'll have to hold on a minute.
04|02|40|42|CMP|Okay, Bruce, the read-outs on the PITCH meter is 50 degrees, on the YAW meter is 270, on the knob, it's set at 35; and the - PITCH - YAW knob is set ? at 275-
04|02|4i|06|CC|Okay, Stu, on pitch, is that plus or minus? Over.
04|02|4i|12|CMP|Oh, sorry about that. Both are minuses.
04|02|4i|15|CC|Okay. Meter: PITCH, minus 50; YAW, 270; knob, minus 35 and 275. Over.
04|02|4i|27|CMP|That's affirmative.
04|02|4l|29|CC|Okay; coming at you with a consumables update. Over.
04|02|4i|36|CMP|And let her rip.
04|02|4i|38|CC|At a GET of 99 hours even; RCS total, 74 percent; quads in order, 73, 75, 73, 75; hydrogen, 65, 65; oxygen, 85, 83, 31. Over.
04|02|42|10|CMP|Roger. Copy the GET 99 hours; RCS total, 74; quads, 73, 75, 73, 75; hydrogen, 65, 65; 0 , 85, 83, 31.
04|02|42|27|CC|Roger, out.
04|02|42|43|LMP|Houston, 14.
04|02|42|44|CC|Go ahead, Ed.
04|02|42|50|LMP|Are you going to switch over to HIGH BIT RATE so you can look at this? I'd like to go ahead and start suiting up.
04|02|42|55|CC|Stand by.
04|02|43|17|CC|Apollo 14, this is Houston. We request HIGH GAIN ANTENNA SERVO ELECTRONICS to SECONDARY. Over.
04|02|43|28|LMP|Okay. ... - -
04|02|43|29|CMP|Okay; going to SECONDARY.
04|02|45|11|CC|Apollo 14, this is Houston. Request S-BAND NORMAL, TRANSPONDER, SECONDARY. Over.
04|02|45|22|IMP|Roger. TRANSPONDER, SECONDARY.
04|02|46|08|CC|Apollo 14, this is Houston. How do you read?
