108:25:00|CC|Kitty Hawk, Houston. Over.
108:25:05|CMP|Go ahead, Houston.
108:25:07|CC|Roger, Stu. We've got you on a different channel now than the LM. For some reason, we're getting a little bit of noise out of your downlink. But did you relay everything that was going on - or hear everything that was going on?
108:25:22|CMP|Yes, man. I sure did.
108:25:24|CC|Okay. Mighty fine.
108:25:25|CMP|They really put her in there.
108:25:56|CMP|Hey, Ron, let me know when I can talk without disrupting things. It quieted down, now?
108:26:00|CC|Yes. It's all quieted down, and your downlink's on another channel; so, no problems. So, you're clear to talk.
108:26:08|CMP|Okay. On this - Say again.
108:26:11|CC|Roger. You're cleared to talk.
108:26:16|CMP|Oh, okay. Hey, that LTC camera's still acting up the same way; I tried both nonessential BUS positions, and I cycled all the connectors - could see no visi - visible damage to the pins. I did look at that slit in the shutter, and the first two times I actuated it, it stayed pretty much over 1 inch from the edge. And then, the next couple of times, it stopped about 2 inches from the edge -one each time a different edge, but out about 2 inches, maybe just a little more. It still has the clacking sound; it still wants to - intermittently fire off a frame in standby, even with the frames per minute set on zero. And I did not take the LTC photo target 16; I figured that Gordon had LMPlied that it might be a waste of film to shoot them this way; I thought maybe we could get it fixed, we could save the film. I did shoot the landing because I figured, even if it is working - that one we wouldn't have another chance at. And I fired 39 frames off of magazine B on the landing per the pad. I don't know whether it will turn out or not, because it - it clanked and fluttered the whole time.
108:27:55|CC|Okay. We copy that, Stu.
108:28:01|CMP|Okay.
108:28:06|CC|One thing I might ask you there. Did you try trying the power switch ON and OFF any time when it was clicking away there.
108:28:17|CMP|Yes, I did. I cycled that. I cycled the nonessential BUS switch while it was running. Saw no change at all from MAIN A to MAIN B. And once you apply the power, it - it goes into its MAG and does its thing there, regardless of whether you have the MODE switch in AUTO, STANDBY, or SINGLE, and whether or not you turn the POWER ON and OFF again. Generally: now, when I came up to shoot the landing, when I turned the POWER switch ON a minute before the T start, it clanked all the time but didn't fire off any frames. And during the - minute plus a few seconds path there, it just kicked one, going off as it should every -one every 2 seconds. So the thing's kind of random; I can't seem to get a pattern on it.
108:29:21|CC|Okay. We understand that, Stu. And it still acts like - we got the thing to foul up by a low dc voltage on the thing down here on the ground. And, like you say, if it's got the voltage up on the thing, it seems to work.
108:29:41|CMP|Hey, along that line, Gordon LMPlied that low dc voltage ought to have a flickering POWER ON light; and that's not true. Mine appears to be steady.
108:29:50|CC|Okay. I copied. And, Stu, I've got a bunch of P24 pads here for you. Better start copying them, I guess. And also - -
108:29:59|CMP|Okay. Hey, let me fire off this 52, and then I'll be right with you.
108:30:02|CC|Okay.
108:32:15|CMP|Okay. Ron, let's go to work on the pads.
108:32:18|CC|Okay. How about trying for the HIGH GAIN, MANUAL and MEDIUM, PITCH of minus of 73, YAW of 11.
108:32:51|CC|And Kitty Hawk; Houston. When you get it, start with RP-3 on page 13.
108:33:04|CMP|Okay. I've got you now. Can you read me, Ron; the signal strength doesn't look too good.
108:33:08|CC|Okay. The yaw - try a yaw of 25 degree.
108:33:21|CC|Okay. You still with me, Stu?
108:33:27|CMP|Yes, I've still got you here. Yaw 25's a little too much. Let me play with it just a second.
108:33:50|CMP|Okay, Ron.- That looks like about the best I'm going to do. That good enough for you?
108:33:53|CC|Okay. I think it looks pretty good down here, now. And ready to start on RP-3. Still got about 9 minutes, yet. Okay, T , 109:57:54; T^, 110:02:44; 110:04:24; 110:05:12; north 5 and - -
108:34:37|CMP|Okay. RP-3, 109:57:54. Go ahead, Ron. Let's run them all through, and then I'll read them back.
108:34:47|CC|Okay, good. RP-5: T1, 110:08:45, 110:13=35; 110 :15 :15 ; HO: 16 :03. It's on track. Okay. The Daguerre 66. T1, 110:30:11; 110 - -
108:35:37|CMP|Hold it. Start Daguerre over again. You broke up.
108:35:41|CC|Roger. Okay, the Daguerre 66 T1 is 110:30:11; 110:35:01; 110:36:41; 110:37:29. It's north 22. Okay, ready for P20 - Landmark 14-1.
108:36:26|CMP|Okay.
108:36:27|CC|T1 is 110:46:15; 110:51:05; 110:52:45; 110:53:33. It's north 6, and, of course, it'll be 14-1 for the NOUN 89.
108:37:02|CMP|Okay, Ron. You broke up on TCA and T3.
108:37:08|CC|Okay. TCA on 14-1, 110:52:45; T3, 110:53:33. North 6; NOUN 89 is 14-1.
108:37:33|CMP|Okay. 14-1, 110:46:15; 110:51:05; 110:52:45; 110:53:33; north 6, 14-1.
108:37:50|CC|Roger. Readback correct.
108:38:02|CC|Kitty Hawk, Houston. Request P00 and ACCEPT there, and we'll give you a state vector.
108:38:12|CMP|Okay. You have it.
108:38:32|CC|And, Kitty Hawk; Houston. Got a map update for the REV 15 on page 13.
108:38:40|CMP|Go ahead.
108:38:41|CC|Roger. 180 degrees is 109:47:59.
108:38:50|CMP|109:47:59.
108:38:54|CC|Roger.
108:40:59|CC|Kitty Hawk, Houston. Computer's yours, now.
108:41:06|CMP|Okay. Thank you, Ron.
108:42:11|CC|Okay. Kitty Hawk, Houston. About 45 seconds to LOS; we'll see you on the other side.
108:42:19|CMP|Okay.
109:07:00||BEGIN LUNAR REV 15
109:32:25|CC|Kitty Hawk, Houston. About time to start the camera on RP-5 ? e
109:38:11|CMP|Houston, 14. How do you read?
109:38:15|CC|Roger. Loud and clear, Stu.
109:38:30|CMP|Well, how are the troops in Antares maiing out? Do we have an estimate on the landing spot yet, Don?
109:38:39|CC|Okay. They're pressing on with all their checks down there. And everything is still real good. They've got a STAY.
109:38:46|CMP|Real good.
109:38:53|CMP|How far from the spot? Did they come right in on the first pick?
109:38:59|CC|Say again, Kitty Hawk.
109:39:05|CMP|Roger. Are they right on the target?
109:39:09|CC|Yes, I think so. From what we can tell they just passed over the north crater of Triplet, and on down the stream just a little bit, but Just a little bit short of the target, I think, initially. They haven't started the - their descriptions yet, though. I haven't gotten the word yet on exactly where they are.
109:43:41|CMP|Houston, 14 or Kitty Hawk.
109:43:45|CC.|Roger. Go ahead, Kitty Hawk.
109:43:51|CMP|Hey, Ron, got any word on how the low altitude track on 14-1 and high altitude, compare?
109:44:05|CC|Let me see if I can get that, Stu.
109:44:11|CMP|Okay.
109:47:59|CC|Kitty Hawk, Houston.
109:48:04|CMP|Go ahead, big ...
109:48:06|CC|Roger. You're kind of down in the mud, Stu. But your high altitude tracking was excellent, and we've changed the landing site from a previous estimate there, 1400 feet in latitude, and zero in longitude. We've only got three real-time marks on the low altitude, but it compares real favorably with the high altitude stuff, so far.
109:48:37|CMP|Well, now the other marks, on the low altitude, Ron, on the - on the tape, that right?
109:48:42|CC|Yes. That affirm. They were on the tape, and it took us awhile to get that dumped on the tape, and then - so we're just now getting the tape data.
109:48:54|CMP|Okay.
109:49:39|CC|And, Kitty Hawk; Houston. You've got about 30 seconds to T1 time for Daguerre 66.
109:49:48|CMP|Okay. Thank you.
109:54:01|CC|Kitty Hawk, Houston. You can start your camera.
109:54:07|CMP|Okay.
110:05:51|CC|Okay, Stu; Houston here. You're coming up on the T1 time.
110:06:00|CMP|Okay.
110:10:04|CC|Okay. Time to start your camera there, Stu.
110:10:10|CMP|Ron, she's running; thank you.
110:10:14|CC|Okay. And when you finish up there as you?re -whipping on across the landing site, those guys are so close to it, you probably can?t tell the difference from up there.
110:14:06|CMP|Ron, I tried to change the camera and put the sextant on and take a look at - the site; Cone Crater went by just as I got the sextant up.
110:14:20|CC|Okay. Couldn't understand what you said that time, Stu. Just for your information though, Antares is locked onto you with her radar.
110:14:32|CMP|Okay. What I said was, that soon as I finished up on 14-1, I tried to get the sextant in, in time to look at the LM; but, by the time I got it in, Cone Crater was just passing out of the field of view.
110:14:47|CC|Roger. I understand. We'll catch them one of these other REVs.
110:14:55|CMP|Okay.
110:20:27|CC|Kitty Hawk, Houston.
110:20:33|CMP|Go ahead, Houston; Kitty Hawk.
110:20:35|CC|Roger. We'll stand by for the magazine percentage there after - on the landmark tracking magazine.
110:20:57|CMP|Okay. I saw it 62 percent.
110:21:03|CC|Roger. Sixty-two percent?
110:21:11|CMP|Yes. That's what it looks like.
110:21:13|CC|Okay. And once you get in attitude, we'll use this high gain procedures: MANUAL and MEDIUM BEAM width.
110:21:27|CMP|All right.
110:22:18|CC|Kitty Hawk, Houston. Request OMNI Alfa until we get into the attitude.
110:22:26|CMP|How do you read, Houston? Kitty Hawk.
110:22:30|CC|Roger, Kitty Hawk; loud and clear.
110:22:37|CMP|Okay.
110:28:47|CC|Kitty Hawk, Houston. I've got some map updates, and your zero phase pads for you.
110:28:57|CMP|Okay. Go ahead.
110:28:59|CC|Okay. On page 16, there. Map update, REV 16; 180 is 111:46:20.
110:29:15|CMP|Okay, 111:46:20.
110:29:19|CC|Okay, your zero phase pad to backward.
110:29:30|CMP|Go ahead.
110:29:31|CC|Roger. Roll, 197-4; pitch, 001.4; yaw, all zips; T-start, 111:59:43. And make a note there that your switch time will be 8:07- Over.
110:30:19|CMP|Okay, 0197.4, 001.4, 000; T-start, 111:59:43; switch time at 8:07.
110:30:33|CC|Roger. And on page 18 now, your zero phase pad forward.
110:30:43|CMP|Okay.
110:30:45|CC|Okay. Roll, 344.7; pitch, 240.1; yaw, all zips; T-start, 112:36:00. And make a note there that your new switch time is 9:58.
110:31:24|CMP|Okay. 344.7, 240.1, 000; 112:36:00; and switch time, 9:58.
110:31:36|CC|Roger. And just a reminder to be sure and get it on your tape up there. The verbal marks at your first and last intervalometer actuation.
110:31:52|CMP|Okay. Thank you.
110:32:15|CC|... is 958.
110:32:26|CMP|Okay, 344.7, 240.1, 000, 112:36:00. And switch time 958.
110:32:37|CC|Roger. Just a reminder to be sure and get it on your tape up there - the verbal at your first and last intervalometer actuation. ®
110:32:52|CMP|Okay. Thank you.
110:39:10|CC|Kitty Hawk, Houston.
110:39:19|CMP|Go ahead, Houston; Kitty Hawk.
110:39:21|CC|Okay, we're about to LOS here, Stu. Get some good gegenschein photos when you go around the corner there. If you want to write these down and stick them on your site map there, it looks like they're located - located at Charlie Quebec, 0.5 and 65.4.
110:39:45|CMP|Okay, got Charlie Quebec 0.5 and 65.4. And we'll get the gegenschein. This new window shade sure looks great, Ron. And fits on - back on the camera real good. Just to be doubly safe, I just got through taping floodlight - right up by the window.
110:40:06|CC|Hey, beautiful.
110:40:47|CMP|And Houston, Kitty Hawk.
110:40:49|CC|Go.
110:40:52|CMP|Hey, Ron. Is somebody thinking up any words about our Descartes photography. Does it look like the Hycon's wiped out, or we going to do the COAS or -any decision on that?
110:41:08|CC|We're working on it right now, Stu.
111:06:00||BEGIN LUNAR REV 16
